Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,333.500000,336.000000,333.000000,335.000000,329.145660,37612639
2020-02-13,338.000000,338.000000,335.000000,335.000000,329.145660,22757021
2020-02-14,337.000000,337.000000,334.500000,335.000000,329.145660,16933683
2020-02-17,331.500000,333.000000,330.500000,331.500000,325.706848,15937079
2020-02-18,324.500000,326.500000,322.000000,322.000000,316.372833,61825604
2020-02-19,322.500000,327.000000,322.000000,326.500000,320.794220,38781218
2020-02-20,328.000000,329.000000,325.000000,325.500000,319.811707,27011736
2020-02-21,325.500000,326.500000,323.000000,325.000000,319.320435,22813534
2020-02-24,319.500000,321.500000,319.500000,320.000000,314.407837,41693680
2020-02-25,320.000000,323.500000,317.500000,322.000000,316.372833,36195011
2020-02-26,317.000000,320.500000,316.500000,318.500000,312.934021,60479362
2020-02-27,319.000000,320.000000,315.000000,316.000000,310.477722,61250927
2020-03-02,308.000000,317.000000,308.000000,311.000000,305.565094,79912942
2020-03-03,318.500000,320.000000,316.000000,317.500000,311.951477,49679411
2020-03-04,322.000000,322.000000,317.000000,320.500000,314.899078,42941146
2020-03-05,325.000000,326.000000,323.000000,323.000000,317.355377,37861525
2020-03-06,320.000000,320.500000,315.000000,315.000000,309.495178,51546760
2020-03-09,307.500000,310.000000,305.500000,305.500000,300.161194,87871277
2020-03-10,301.500000,309.000000,301.000000,307.000000,301.635010,71950130
2020-03-11,309.000000,310.500000,302.000000,302.000000,296.722382,62216710
2020-03-12,299.000000,299.000000,287.000000,294.000000,288.862183,113527351
2020-03-13,275.000000,294.000000,272.500000,290.000000,284.932068,149995148
2020-03-16,285.000000,291.000000,275.500000,276.500000,271.667999,103873228
2020-03-17,265.000000,276.500000,265.000000,268.000000,263.316559,121323651
2020-03-18,269.500000,272.500000,260.000000,260.000000,255.456345,117437643
2020-03-19,252.000000,253.000000,235.500000,248.000000,246.031738,160811697
2020-03-20,258.500000,270.000000,256.000000,270.000000,267.857147,157664726
2020-03-23,257.000000,262.500000,252.000000,255.000000,252.976181,76466709
2020-03-24,268.000000,274.000000,266.000000,267.500000,265.376984,81952933
2020-03-25,276.500000,280.000000,274.000000,277.000000,274.801575,79447199
2020-03-26,279.500000,280.000000,275.500000,280.000000,277.777771,52845633
2020-03-27,284.000000,286.000000,273.000000,273.000000,270.833313,68752306
2020-03-30,263.500000,269.000000,262.500000,267.500000,265.376984,49159956
2020-03-31,273.000000,274.000000,269.500000,274.000000,271.825378,48837923
2020-04-01,276.500000,276.500000,271.500000,271.500000,269.345245,44515034
2020-04-06,273.000000,275.500000,270.000000,275.500000,273.313477,56392754
2020-04-07,283.500000,284.000000,280.500000,283.000000,280.753967,48787346
2020-04-08,285.000000,285.500000,283.000000,285.000000,282.738098,37912826
2020-04-09,287.500000,288.000000,282.500000,283.000000,280.753967,27620430
2020-04-10,280.000000,282.000000,279.000000,279.500000,277.281738,27252858
2020-04-13,278.500000,281.500000,278.500000,278.500000,276.289673,22196596
2020-04-14,281.000000,285.500000,280.000000,285.000000,282.738098,48809688
2020-04-15,287.000000,288.500000,286.000000,287.500000,285.218231,55216434
2020-04-16,283.000000,288.500000,283.000000,286.500000,284.226196,47815280
2020-04-17,303.500000,308.500000,300.500000,306.500000,304.067444,116368201
2020-04-20,308.000000,309.000000,302.500000,304.000000,301.587280,41381669
2020-04-21,300.500000,301.500000,293.500000,295.000000,292.658722,61479357
2020-04-22,294.500000,295.000000,290.500000,294.000000,291.666656,42192580
2020-04-23,300.000000,300.000000,294.000000,295.500000,293.154755,39474478
2020-04-24,295.500000,297.000000,294.000000,294.000000,291.666656,26008090
2020-04-27,298.000000,298.500000,296.000000,298.000000,295.634918,38493406
2020-04-28,298.500000,298.500000,294.500000,296.500000,294.146820,37395165
2020-04-29,299.000000,301.500000,298.000000,299.000000,296.626984,44059301
2020-04-30,302.000000,305.000000,301.500000,304.500000,302.083313,55126085
